74452055485329544	merge error		Verified
72482211818900173			
74311387119094284	non-neuron?		Verified
73185693102250257			
72552580563079822			
72622811734081603			
74170580709948643			Investigate Closer
74311249545936097	75437836714832554		Verified
72974724241562467			
74100211831547253	75156430189110269	80292386508840003	Verified
74100211898682494	75156292817294323		Verified
73185761955943138			
74170580642833128	75086061512028586		Verified
72693317984367589			
73326499377219147			
72904218192665982			
73326293285903629			
73959474812985293			Verified
74170443405221987	75226661762888530		Verified
73959612251905005			Verified
73467167944755506			
74029980861927026	75015761755922934		Verified
73959336904253412			Verified
72693180612492692			
73959406093485089	75015555731685480		Verified
73889243507751599			Verified
73959543196916541			
73607562305517104			
73326293285878560			
74451849394050880	75437561568668816'		Verified
74592518565578204			Investigate Closer
73467236798477894			
74170374350217144			Verified
73959612251905005			Verified
73959337038471915	75015555530253834		Verified
74240812216523457			Verified
73818805574333952	74874955212586617'		Verified
72693317984367589			
72974655522093880			
72904218192665982			
72974586802613480			
73818668470907727	74874817975052124		Verified
73045024199162817			
72693111825901481			
73678205994713119			
74029980996096291	75086130634295410		Verified
73326224365065492			
73256062316196859			
72341474330589972			
73537537225802134			
73959611983481604	74945392877564057		Verified
73678342963865212			
74311111905661274	75367192824515869'		Verified
73748505952355115			
74240880935987339	75226730549379976		
74381618155913491	75437767860988826		Verified
74311249411734388	75437767727016751		Verified
74522218205299665	75508136605276166		Verified
74522355845571501	75508136739400301		
74240949588361833	75226730549326329	80644299553027578	Verified
74592518364237298	75437699275722488		Verified
74592518297126996	75648736721852460		Verified
72622949307280832			
73818874629353038			
72693317917225113			
72693317984369742			
72482211818908131			
72763686795610662			
73185761955943138			
72482074379948207			
73467168011876120			
72763686795610662			
73396867987233694			
74522218205299665	75578505148243214? Confirm in wk		Verified
74381618290166115	not a real cell		Verified
73677999500690855			
72482074379948207			
74381618558606592			Verified
73466961786331298			
74662886839977629	75719036679431220		Verified
74381480582726844			Verified
74522492948977212			Verified
74381480582726844			Verified
74451780942976132	75507999300732200		Verified
74592518230018094	75578299124012924	81206562445625383	Verified
74451849326901017			Verified
74381549369306579	75437630220919434		Verified
74452124339013043	75508342763704729 astrocyte?		Verified
74170649697849694	75297167677497269		Verified
74522149351619536			Verified
74451849729557545	75507999367822693		Verified
74451849461141067	75578230471416954 		Verified
74100349538930991	75086130432907868	80222636776531128	Verified
73889243440659852			Verified
74381480716952450	75437630354932125		Verified
74381618290149004	75437836647817509'		Verified
74381549302190055			Verified
74451849595364500	75437699275953639	81628843429046581	Verified
74381618290149004			Verified
74100074526819932	75085786768275757		Verified
74170512057582813			cell in EM, need to lookup ID - checked and could be astrocyte
74311111838532359			Verified
74170512191786831	75156361738300461		Verified
73537606012376326			
74311318332510353	75297099226310309		Verified
74240881003082214	75297030641286900		Verified
73467236932667273			
74170649630769237	75226868055417008		Verified
74381755930380000			Cell is not in EM
74311180625141744	75226386549424771		Verified
74311249344643022	75437836446555163		
74381412400124457			Verified
72833918033799406			
74451918113518552	75437699074619779		Verified
73396593444812189			
74029843020253479	75085855286576857		Verified

